date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:41:58	169/169	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Oct%202019%2015:02:47%20GMT	http://demo.ovathemes.com/robots.txt		(from )
20:42:00	121802/121802	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Oct%202019%2015:02:48%20GMT	http://demo.ovathemes.com/eventmana/	/home/halwa/websites/events/demo.ovathemes.com/eventmana/index.html	(from )
20:42:00	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2023%20Oct%202019%2015:02:50%20GMT	http://demo.ovathemes.com/eventmana/xmlrpc.php	/home/halwa/websites/events/demo.ovathemes.com/eventmana/xmlrpc.php	(from http://demo.ovathemes.com/eventmana/)
20:42:02	29295/29295	---MCZ	200	added ('OK')	text/css	etag:W/%225cfde36c-726f%22	http://demo.ovathemes.com/eventmana/wp-includes/css/dist/block-library/style.min.css?ver=5.2.4	/home/halwa/websites/events/demo.ovathemes.com/eventmana/wp-includes/css/dist/block-library/style.min4d2c.css	(from http://demo.ovathemes.com/eventmana/)
20:42:03	14729/14729	---MCZ	200	added ('OK')	text/css	etag:W/%225d575aeb-3989%22	http://demo.ovathemes.com/eventmana/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.3.0	/home/halwa/websites/events/demo.ovathemes.com/eventmana/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/stylea1ec.css	(from http://demo.ovathemes.com/eventmana/)
20:42:03	777/777	---MC-	200	added ('OK')	application/rss+xml	etag:%22a0bf0befebe2683e115490110b57bd44%22	http://demo.ovathemes.com/eventmana/comments/feed/	/home/halwa/websites/events/demo.ovathemes.com/eventmana/comments/feed/index.html	(from http://demo.ovathemes.com/eventmana/)
20:42:04	21205/21205	---MC-	200	added ('OK')	application/rss+xml	etag:%222162e2fd3318f599d9c7ee7dafbfd868%22	http://demo.ovathemes.com/eventmana/feed/	/home/halwa/websites/events/demo.ovathemes.com/eventmana/feed/index.html	(from http://demo.ovathemes.com/eventmana/)
20:42:04	1685/1685	---MCZ	200	added ('OK')	text/css	etag:W/%225d575ae8-695%22	http://demo.ovathemes.com/eventmana/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.4	/home/halwa/websites/events/demo.ovathemes.com/eventmana/wp-content/plugins/contact-form-7/includes/css/styles58e0.css	(from http://demo.ovathemes.com/eventmana/)
20:42:05	9166/9166	---MCZ	200	added ('OK')	text/css	etag:W/%225d575ae9-23ce%22	http://demo.ovathemes.com/eventmana/wp-content/plugins/instagram-slider-widget/assets/css/instag-slider.css?ver=1.5.0	/home/halwa/websites/events/demo.ovathemes.com/eventmana/wp-content/plugins/instagram-slider-widget/assets/css/instag-slider91ce.css	(from http://demo.ovathemes.com/eventmana/)
20:42:05	529/529	---MCZ	200	added ('OK')	text/css	etag:W/%225a4c5a21-211%22	http://demo.ovathemes.com/eventmana/wp-content/plugins/recent-tweets-widget/tp_twitter_plugin.css?ver=1.0	/home/halwa/websites/events/demo.ovathemes.com/eventmana/wp-content/plugins/recent-tweets-widget/tp_twitter_plugin5152.css	(from http://demo.ovathemes.com/eventmana/)
20:42:07	16542/16542	---MCZ	200	added ('OK')	text/css	etag:W/%225d575aeb-409e%22	http://demo.ovathemes.com/eventmana/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=3.7.0	/home/halwa/websites/events/demo.ovathemes.com/eventmana/wp-content/plugins/woocommerce/assets/css/woocommerce-layout3088.css	(from http://demo.ovathemes.com/eventmana/)
20:42:07	6758/6758	---MCZ	200	added ('OK')	text/css	etag:W/%225d575aeb-1a66%22	http://demo.ovathemes.com/eventmana/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.7.0	/home/halwa/websites/events/demo.ovathemes.com/eventmana/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen3088.css	(from http://demo.ovathemes.com/eventmana/)
20:42:09	62639/62639	---MCZ	200	added ('OK')	text/css	etag:W/%225d575aeb-f4af%22	http://demo.ovathemes.com/eventmana/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.7.0	/home/halwa/websites/events/demo.ovathemes.com/eventmana/wp-content/plugins/woocommerce/assets/css/woocommerce3088.css	(from http://demo.ovathemes.com/eventmana/)
20:42:10	122540/122540	---MCZ	200	added ('OK')	text/css	etag:W/%225c35683a-1deac%22	http://demo.ovathemes.com/eventmana/wp-content/themes/eventmana/assets/plugins/bootstrap/css/bootstrap.min.css?ver=5.2.4	/home/halwa/websites/events/demo.ovathemes.com/eventmana/wp-content/themes/eventmana/assets/plugins/bootstrap/css/bootstrap.min4d2c.css	(from http://demo.ovathemes.com/eventmana/)
20:42:11	30611/30611	---MCZ	200	added ('OK')	text/css	etag:W/%225d709267-7793%22	http://demo.ovathemes.com/eventmana/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css?ver=6.0.5	/home/halwa/websites/events/demo.ovathemes.com/eventmana/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min52c7.css	(from http://demo.ovathemes.com/eventmana/)
20:42:11	5665/5665	---MCZ	200	added ('OK')	text/css	etag:W/%225c356831-1621%22	http://demo.ovathemes.com/eventmana/wp-content/themes/eventmana/assets/plugins/bootstrap-select/bootstrap-select.min.css?ver=5.2.4	/home/halwa/websites/events/demo.ovathemes.com/eventmana/wp-content/themes/eventmana/assets/plugins/bootstrap-select/bootstrap-select.min4d2c.css	(from http://demo.ovathemes.com/eventmana/)
20:42:12	3632/3632	---MCZ	200	added ('OK')	text/css	etag:W/%225c35685f-e30%22	http://demo.ovathemes.com/eventmana/wp-content/themes/eventmana/assets/plugins/owlcarousel2/assets/owl.carousel.min.css?ver=5.2.4	/home/halwa/websites/events/demo.ovathemes.com/eventmana/wp-content/themes/eventmana/assets/plugins/owlcarousel2/assets/owl.carousel.min4d2c.css	(from http://demo.ovathemes.com/eventmana/)
20:42:13	1055/1055	---MCZ	200	added ('OK')	text/css	etag:W/%225c35685f-41f%22	http://demo.ovathemes.com/eventmana/wp-content/themes/eventmana/assets/plugins/owlcarousel2/assets/owl.theme.default.min.css?ver=5.2.4	/home/halwa/websites/events/demo.ovathemes.com/eventmana/wp-content/themes/eventmana/assets/plugins/owlcarousel2/assets/owl.theme.default.min4d2c.css	(from http://demo.ovathemes.com/eventmana/)
20:42:14	19888/19888	---MCZ	200	added ('OK')	text/css	etag:W/%225c35685b-4db0%22	http://demo.ovathemes.com/eventmana/wp-content/themes/eventmana/assets/plugins/prettyphoto/css/prettyPhoto.css?ver=5.2.4	/home/halwa/websites/events/demo.ovathemes.com/eventmana/wp-content/themes/eventmana/assets/plugins/prettyphoto/css/prettyPhoto4d2c.css	(from http://demo.ovathemes.com/eventmana/)
20:42:15	54877/54877	---MCZ	200	added ('OK')	text/css	etag:W/%225c356807-d65d%22	http://demo.ovathemes.com/eventmana/wp-content/themes/eventmana/assets/plugins/animate/animate.min.css?ver=5.2.4	/home/halwa/websites/events/demo.ovathemes.com/eventmana/wp-content/themes/eventmana/assets/plugins/animate/animate.min4d2c.css	(from http://demo.ovathemes.com/eventmana/)
20:42:16	879/879	---MCZ	200	added ('OK')	text/css	etag:W/%225c356814-36f%22	http://demo.ovathemes.com/eventmana/wp-content/themes/eventmana/assets/plugins/countdown/jquery.countdown.css?ver=5.2.4	/home/halwa/websites/events/demo.ovathemes.com/eventmana/wp-content/themes/eventmana/assets/plugins/countdown/jquery.countdown4d2c.css	(from http://demo.ovathemes.com/eventmana/)
20:42:17	0/0	---M--	200	added ('OK')	text/css	etag:%225c3567ea-0%22	http://demo.ovathemes.com/eventmana/wp-content/themes/eventmana/assets/css/custom.css?ver=5.2.4	/home/halwa/websites/events/demo.ovathemes.com/eventmana/wp-content/themes/eventmana/assets/css/custom4d2c.css	(from http://demo.ovathemes.com/eventmana/)
20:42:20	151430/151430	---MCZ	200	added ('OK')	text/css	etag:W/%225c3567ba-24f86%22	http://demo.ovathemes.com/eventmana/wp-content/themes/eventmana/style.css?ver=5.2.4	/home/halwa/websites/events/demo.ovathemes.com/eventmana/wp-content/themes/eventmana/style4d2c.css	(from http://demo.ovathemes.com/eventmana/)
